train_loss,val_loss
3.0175,3.212143
2.4727037,2.5686555
2.215056,2.6140406
2.1764705,2.6339164
2.1821485,2.561492
2.217499,2.542318
2.1786466,2.5479772
2.1459813,2.561504
2.1303341,2.59073
2.1779528,2.5302744
2.1271632,2.5400612
2.1064727,2.5598762
2.1562264,2.5312724
2.0860534,2.5912642
2.0668404,2.578653
2.054331,2.4457097
2.0533879,2.4523218
2.044366,2.599066
2.0442653,2.3931763
2.0395281,2.4239478
2.0345223,2.4236226
2.0363135,2.415765
2.0403693,2.4321487
2.2494757,2.448563
2.101333,2.5274217
2.074942,2.4236708
2.0685506,2.4053543
2.0597746,2.409356
2.1256547,2.4812508
2.1246476,2.433306
2.175756,2.4940734
2.1292267,2.77635
2.1378207,2.4790177
2.067924,2.390284
2.0394313,2.4582837
2.038677,2.406507
2.0337412,2.4710004
2.065694,2.4445987
2.062442,2.3835282
2.0379617,2.4388752
2.0326188,2.4615016
2.1667767,2.4763336
2.0623074,2.393037
2.1169262,2.407239
2.0758975,2.4444296
2.182462,2.5056252
2.1029053,2.424454
2.0585546,2.402068
2.1342366,2.411943
2.0984356,2.41342
2.0982285,2.3806632
2.0368915,2.4344525
2.0326812,2.368798
2.0303605,2.4263947
2.1836572,2.5652127
2.042478,2.4350579
2.030552,2.4306614
2.2005126,2.4302995
2.1082625,2.7226682
2.089783,2.4555304
2.0772386,2.5902507
2.116476,2.5844173
2.0706055,2.4573493
2.0531833,2.4561663
2.0502195,2.432793
2.1964743,2.4496331
2.0575135,2.4812734
2.0493996,2.4176445
2.0426257,2.4657357
2.1471539,2.8348496
2.3490698,2.4640613
2.1277676,2.4501724
2.1325016,2.4194906
2.0408204,2.4741197
2.1801634,2.4211988
2.0627983,2.3967907
2.0418694,2.4130063
2.0673645,3.024813
2.2282653,2.6193175
2.0852408,2.4583845
2.0556145,2.4630644
2.0298645,2.4320602
2.0511382,2.3699536
2.030595,2.3796844
2.1162214,2.4199789
2.0606534,2.4089563
2.0499558,2.384085
2.250386,2.5895848
2.106803,2.4426327
2.0698047,2.4060688
2.052008,2.4229035
2.1593115,2.5213559
2.2215507,2.4005768
2.056883,2.463345
2.0383742,2.3795075
2.0295854,2.4165418
2.0357506,2.4664047
2.12352,2.8770154
2.0519598,2.4309049
2.0319736,2.4063501
