train_loss,val_loss
3.0475404,3.2070675
2.9488404,3.102865
2.9068117,3.1852653
2.8302357,2.8977957
2.7234402,2.7862153
2.574719,3.8133376
2.9015675,2.9071681
2.7321658,2.9614348
2.6382449,3.1459138
2.5340743,2.813295
2.6063683,3.0708854
2.5802743,3.1734922
2.7417898,2.767857
2.4537258,2.8455558
2.3965263,2.7305918
2.3701215,2.7105174
2.3360102,2.728743
2.3046668,2.617786
2.283743,2.6519752
2.2357085,2.6577518
2.2351491,2.6982207
2.2132704,2.6511955
2.2456477,2.7021236
2.200692,2.8707585
2.1527863,2.7156243
2.1966534,2.5881603
2.146824,2.642273
2.1761868,2.8508022
2.150048,2.597245
2.1397138,2.6536064
2.1081831,2.6972756
2.11297,2.8107169
2.094145,2.5781572
2.0774102,2.7504478
2.0979493,2.7131035
2.0597556,2.6750534
2.086936,2.6324751
2.1187747,2.7380128
2.0799057,2.6682408
2.0780313,2.6296687
2.0741599,2.633793
2.0508745,2.5724053
2.0508788,2.5364888
2.024146,2.6092236
2.0210419,2.5636632
2.0349286,2.5939028
2.0034912,2.6282885
2.0302968,2.5162368
2.0308652,2.7609904
2.0337558,2.636105
2.0177207,2.667187
2.0472462,2.603809
2.0180218,2.5746522
2.0179782,2.7124455
2.0170727,2.649026
2.0200303,2.611073
2.020143,2.6318617
1.9868126,2.6006007
1.9955997,2.6613865
1.9809821,2.5534384
1.9736925,2.576705
1.9853883,2.6140902
1.9519466,2.5470982
1.9549791,2.6081622
1.9431498,2.763514
1.9519852,2.599356
1.9586439,2.5771415
1.9532237,2.6174257
1.9751953,2.646902
1.9588066,2.6739597
1.9673308,2.6965494
1.960778,2.7333524
1.9289902,2.624619
1.9153721,2.6698534
1.8987513,2.6565354
1.9182918,2.6527708
1.9002556,2.646227
1.8661925,2.6555061
1.9180259,2.6516051
1.8760965,2.6639647
1.8742299,2.5892465
1.8649882,2.6967869
1.8697608,2.670806
1.899444,2.721528
1.8676535,2.6115212
1.8543657,2.631087
1.856405,2.676953
1.863558,2.637961
1.8714211,2.837918
1.8717397,2.8417912
1.8954811,2.7123115
1.8712548,2.6849084
1.8408816,2.7163866
1.8528334,2.6576416
1.8460343,2.6196213
1.8484923,2.656131
1.8860164,2.602858
1.8785366,2.7056584
1.8369149,2.5972724
1.8290535,2.6040232
