n_est,min_samples_split,min_samples_leaf,max_features
100,4,4,10,2.6369913332570682
100,4,15,10,2.624411917213564
100,4,30,10,2.541674235261488
100,10,4,10,2.640222405961163
100,10,15,10,2.624411917213564
100,10,30,10,2.541674235261488
100,30,4,10,2.6270650003460276
100,30,15,10,2.624411917213564
100,30,30,10,2.541674235261488
500,4,4,10,2.633997889515884
500,4,15,10,2.6177700504191983
500,4,30,10,2.5488939449526518
