train_loss,val_loss
3.0320916,3.20785
2.976525,3.349987
3.0121226,3.2599216
3.0134773,3.2191858
2.9219465,3.1513596
2.8136337,2.6793
2.593999,2.7529461
2.3912365,2.689742
2.7769928,3.128003
2.7541425,2.696712
2.4652567,2.973089
2.4051156,2.6223009
2.31893,2.4566274
2.334802,2.5663888
2.3284984,2.6290536
2.2323158,2.6158226
2.27765,2.6279502
2.2026844,2.5822735
2.2122355,2.4887905
2.1710973,2.6298528
2.1825044,2.981958
2.1911159,2.4794495
2.2056894,2.603038
2.149364,2.7036018
2.127216,2.5640342
2.1770911,2.493784
2.1887538,2.7462025
2.1457567,2.5965323
2.1994448,2.586174
2.1930907,2.5664692
2.15632,2.4865048
2.1532195,2.6175392
2.1683376,2.5066786
2.1579852,2.8163834
2.1294248,2.669157
2.1432097,2.5261474
2.125623,2.5324683
2.1238937,2.4841053
2.129174,2.6501863
2.138068,2.656232
2.130247,2.5003784
2.11732,2.6593716
2.1310499,2.5408907
2.1107428,2.5226188
2.146202,2.5165873
2.1097565,2.530675
2.1299703,2.581866
2.1409154,2.6408494
2.1475835,2.6972296
2.1660683,2.7647305
2.1433046,2.540854
2.2133172,2.6479673
2.1409452,2.6874688
2.1421206,2.5829477
2.1007226,2.535432
2.1129901,2.6084592
2.0987096,2.50698
2.1279912,2.4914348
2.13307,2.5400271
2.130289,2.5255451
2.1147282,2.5967216
2.1214497,2.508336
2.179012,2.4986396
2.1106503,2.5925353
2.1551955,2.5523264
2.2692375,2.4936364
2.157942,2.5104656
2.149615,2.5019503
2.1940067,2.501503
2.3772602,2.4964821
2.205657,2.603892
2.161606,2.6686711
2.1469681,2.477929
2.2363944,2.537231
2.1563432,2.5543447
2.6230943,2.713998
2.4729023,2.590185
2.2606359,2.727695
2.2964714,2.5935695
2.2401705,2.6054697
2.2319744,2.6764739
2.2104409,2.501365
2.185738,2.6135516
2.157224,2.7260785
2.191852,2.560069
2.1575851,2.5261543
2.131992,2.508579
2.1250136,2.5816772
2.1285524,2.6351984
2.1240795,2.7330515
2.135807,2.8065212
2.1282089,2.5480962
2.1004064,2.5755377
2.105605,2.6804976
2.1055856,2.5868604
2.1337633,2.5214536
2.1561716,2.7829678
2.1130252,2.6418386
2.1066825,2.7545168
2.1176217,2.6333778
