train_loss,val_loss
3.1331735,3.237352
3.0537589,3.2260504
3.0867155,3.588528
3.0522575,3.2166095
3.0510173,3.210147
3.0636766,3.218089
3.053192,3.3066661
3.0634584,3.2073958
3.0540655,3.3323004
3.043681,3.3585858
3.0637622,3.4821877
3.0535805,3.2164705
3.0419924,3.2310507
3.0598767,3.209464
3.067617,3.2189226
3.063674,3.3223324
3.0428064,3.2320166
3.0617828,3.2276275
3.0710313,3.320377
3.066272,3.2119408
3.0490272,3.2092454
3.0829978,3.25638
3.1058455,3.391814
3.084256,3.2662609
3.0861967,3.2190356
3.0495684,3.2073946
3.070128,3.210228
3.0456884,3.3909361
3.0492728,3.2104657
3.0630605,3.2615733
3.0571203,3.2352488
3.037799,3.2074137
3.021404,3.2092655
3.0395226,3.3227801
3.0535865,3.2576065
3.0682256,3.2282758
3.0753367,3.2327793
3.0762746,3.2353725
3.0489388,3.2792342
3.0546799,3.2722483
3.0271864,3.2422676
3.0697675,3.2103596
3.0501292,3.300166
3.0636086,3.2738543
3.0772731,3.2146292
3.0360663,3.237327
3.0453448,3.2796552
3.04895,3.2175355
3.0517032,3.2160478
3.0412755,3.337962
3.0388265,3.2110362
3.0461597,3.3529563
3.036225,3.225217
3.0565615,3.2510831
3.0441377,3.2114806
3.032516,3.2872684
3.0365088,3.2157323
3.0342543,3.3122535
3.046151,3.2371206
3.0554578,3.2106113
3.0369847,3.2118533
3.0379348,3.2082818
3.0727715,3.2851949
3.0465481,3.2230136
3.0342019,3.2236452
3.0517583,3.3859308
3.0537982,3.2316675
3.0603397,3.2073896
3.0678496,3.2419846
3.0479298,3.207643
3.0698795,3.2901804
3.0622406,3.2074015
3.0506132,3.2077603
3.0608463,3.3194666
3.044118,3.2075565
3.0602326,3.2228055
3.0269828,3.2306805
3.0286384,3.2149503
3.0292697,3.2703054
3.0196526,3.217057
3.022044,3.2118318
3.0127206,3.2110848
3.051253,3.2082827
3.0697062,3.3665216
3.0724506,3.217239
3.0534918,3.2946553
3.0683858,3.21656
3.0538929,3.2601428
3.0417767,3.2175906
3.0260582,3.22854
3.0742574,3.3647597
3.0596755,3.3884704
3.0377865,3.209071
3.0469136,3.2237685
3.0404427,3.209017
3.0445986,3.208101
3.0181258,3.3071947
3.0391147,3.3023498
3.0751407,3.2141063
3.0412018,3.3746588
