max_depth, eta, objective, booster, gamma, reg_alpha, reg_lambda, subsample, nthread
6,0.01,reg:linear,gbtree,0,0,0.2,0.8,4,2.6304265832354545
6,0.01,reg:linear,gbtree,0,0,0.2,0.9,4,2.6436497467964366
6,0.01,reg:linear,gbtree,0,0,0.2,1,4,2.6759254855374484
6,0.01,reg:linear,gbtree,0,0,0.3,0.5,4,2.5997714032456263
6,0.01,reg:linear,gbtree,0,0,0.3,0.6,4,2.573034333206865
6,0.01,reg:linear,gbtree,0,0,0.3,0.7,4,2.610070596073156
6,0.01,reg:linear,gbtree,0,0,0.3,0.8,4,2.6124801763189294
6,0.01,reg:linear,gbtree,0,0,0.3,0.9,4,2.630553168544256
6,0.01,reg:linear,gbtree,0,0,0.3,1,4,2.6853171526001196
6,0.01,reg:gamma,gbtree,0,0,0,0.5,4,2.5433818867401885
6,0.01,reg:gamma,gbtree,0,0,0,0.6,4,2.553830825990143
6,0.01,reg:gamma,gbtree,0,0,0,0.7,4,2.5335668709273884
6,0.01,reg:gamma,gbtree,0,0,0,0.8,4,2.5552292609451985
6,0.01,reg:gamma,gbtree,0,0,0,0.9,4,2.5444108562186867
6,0.01,reg:gamma,gbtree,0,0,0,1,4,2.6224539946548884
6,0.01,reg:gamma,gbtree,0,0,0.05,0.5,4,2.549436942479941
6,0.01,reg:gamma,gbtree,0,0,0.05,0.6,4,2.545910626186492
6,0.01,reg:gamma,gbtree,0,0,0.05,0.7,4,2.5350470401239362
6,0.01,reg:gamma,gbtree,0,0,0.05,0.8,4,2.568668337447595
6,0.01,reg:gamma,gbtree,0,0,0.05,0.9,4,2.543800345060596
6,0.01,reg:gamma,gbtree,0,0,0.05,1,4,2.6152661056066115
6,0.01,reg:gamma,gbtree,0,0,0.1,0.5,4,2.5479185732931455
6,0.01,reg:gamma,gbtree,0,0,0.1,0.6,4,2.5494758690820087
6,0.01,reg:gamma,gbtree,0,0,0.1,0.7,4,2.5492799756263973
6,0.01,reg:gamma,gbtree,0,0,0.1,0.8,4,2.558503789228976
6,0.01,reg:gamma,gbtree,0,0,0.1,0.9,4,2.546463063985401
6,0.01,reg:gamma,gbtree,0,0,0.1,1,4,2.600484818379884
6,0.01,reg:gamma,gbtree,0,0,0.2,0.5,4,2.5507518958580984
6,0.01,reg:gamma,gbtree,0,0,0.2,0.6,4,2.5340759618537207
6,0.01,reg:gamma,gbtree,0,0,0.2,0.7,4,2.5280730024867357
6,0.01,reg:gamma,gbtree,0,0,0.2,0.8,4,2.5525705943645725
6,0.01,reg:gamma,gbtree,0,0,0.2,0.9,4,2.551725170466992
6,0.01,reg:gamma,gbtree,0,0,0.2,1,4,2.602500967854989
6,0.01,reg:gamma,gbtree,0,0,0.3,0.5,4,2.5436672069241575
6,0.01,reg:gamma,gbtree,0,0,0.3,0.6,4,2.5392551558749568
6,0.01,reg:gamma,gbtree,0,0,0.3,0.7,4,2.539568354411832
6,0.01,reg:gamma,gbtree,0,0,0.3,0.8,4,2.5503214335309345
6,0.01,reg:gamma,gbtree,0,0,0.3,0.9,4,2.5479624607092832
6,0.01,reg:gamma,gbtree,0,0,0.3,1,4,2.5985206770180675
6,0.05,reg:linear,gbtree,0,0,0,0.5,4,2.670092607216994
6,0.05,reg:linear,gbtree,0,0,0,0.6,4,2.6175544782487608
6,0.05,reg:linear,gbtree,0,0,0,0.7,4,2.6359366960469384
6,0.05,reg:linear,gbtree,0,0,0,0.8,4,2.680084734805313
6,0.05,reg:linear,gbtree,0,0,0,0.9,4,2.666093620554658
6,0.05,reg:linear,gbtree,0,0,0,1,4,2.7015341654251555
6,0.05,reg:linear,gbtree,0,0,0.05,0.5,4,2.6187314643539006
6,0.05,reg:linear,gbtree,0,0,0.05,0.6,4,2.6353666189375264
6,0.05,reg:linear,gbtree,0,0,0.05,0.7,4,2.682553929388777
6,0.05,reg:linear,gbtree,0,0,0.05,0.8,4,2.675674872961101
6,0.05,reg:linear,gbtree,0,0,0.05,0.9,4,2.6794370847521223
6,0.05,reg:linear,gbtree,0,0,0.05,1,4,2.709389776977298
6,0.05,reg:linear,gbtree,0,0,0.1,0.5,4,2.6574665335305654
6,0.05,reg:linear,gbtree,0,0,0.1,0.6,4,2.6730591942127626
6,0.05,reg:linear,gbtree,0,0,0.1,0.7,4,2.667121414323741
6,0.05,reg:linear,gbtree,0,0,0.1,0.8,4,2.6748565767132098
6,0.05,reg:linear,gbtree,0,0,0.1,0.9,4,2.6408062110862365
6,0.05,reg:linear,gbtree,0,0,0.1,1,4,2.690848603039674
6,0.05,reg:linear,gbtree,0,0,0.2,0.5,4,2.631412853982116
6,0.05,reg:linear,gbtree,0,0,0.2,0.6,4,2.6457412842097603
6,0.05,reg:linear,gbtree,0,0,0.2,0.7,4,2.6520674405677847
6,0.05,reg:linear,gbtree,0,0,0.2,0.8,4,2.674475512185209
6,0.05,reg:linear,gbtree,0,0,0.2,0.9,4,2.6442157984663486
6,0.05,reg:linear,gbtree,0,0,0.2,1,4,2.685565426082837
6,0.05,reg:linear,gbtree,0,0,0.3,0.5,4,2.6379415323668134
6,0.05,reg:linear,gbtree,0,0,0.3,0.6,4,2.651500158173866
6,0.05,reg:linear,gbtree,0,0,0.3,0.7,4,2.642987405624238
6,0.05,reg:linear,gbtree,0,0,0.3,0.8,4,2.651959665149253
6,0.05,reg:linear,gbtree,0,0,0.3,0.9,4,2.6605206224361115
6,0.05,reg:linear,gbtree,0,0,0.3,1,4,2.6789403473624134
6,0.05,reg:gamma,gbtree,0,0,0,0.5,4,2.879701310896497
6,0.05,reg:gamma,gbtree,0,0,0,0.6,4,2.839980718585939
6,0.05,reg:gamma,gbtree,0,0,0,0.7,4,2.8046291582740377
6,0.05,reg:gamma,gbtree,0,0,0,0.8,4,2.819205605083845
6,0.05,reg:gamma,gbtree,0,0,0,0.9,4,2.765034696934216
6,0.05,reg:gamma,gbtree,0,0,0,1,4,2.7652381451351475
6,0.05,reg:gamma,gbtree,0,0,0.05,0.5,4,2.8389157368373223
6,0.05,reg:gamma,gbtree,0,0,0.05,0.6,4,2.8225911252859177
6,0.05,reg:gamma,gbtree,0,0,0.05,0.7,4,2.7727606184543876
6,0.05,reg:gamma,gbtree,0,0,0.05,0.8,4,2.7497626613122765
6,0.05,reg:gamma,gbtree,0,0,0.05,0.9,4,2.771722645529307
6,0.05,reg:gamma,gbtree,0,0,0.05,1,4,2.818478718963208
6,0.05,reg:gamma,gbtree,0,0,0.1,0.5,4,2.824286584367951
6,0.05,reg:gamma,gbtree,0,0,0.1,0.6,4,2.7989413289495526
6,0.05,reg:gamma,gbtree,0,0,0.1,0.7,4,2.738010204354697
6,0.05,reg:gamma,gbtree,0,0,0.1,0.8,4,2.7862349654052427
6,0.05,reg:gamma,gbtree,0,0,0.1,0.9,4,2.78018342928527
6,0.05,reg:gamma,gbtree,0,0,0.1,1,4,2.7967891203332353
6,0.05,reg:gamma,gbtree,0,0,0.2,0.5,4,2.7869896952631152
6,0.05,reg:gamma,gbtree,0,0,0.2,0.6,4,2.818627638234175
6,0.05,reg:gamma,gbtree,0,0,0.2,0.7,4,2.768406884960489
6,0.05,reg:gamma,gbtree,0,0,0.2,0.8,4,2.7891735250563574
6,0.05,reg:gamma,gbtree,0,0,0.2,0.9,4,2.7697292489129417
6,0.05,reg:gamma,gbtree,0,0,0.2,1,4,2.8155663534155724
6,0.05,reg:gamma,gbtree,0,0,0.3,0.5,4,2.8692680205789185
6,0.05,reg:gamma,gbtree,0,0,0.3,0.6,4,2.7571766027580478
6,0.05,reg:gamma,gbtree,0,0,0.3,0.7,4,2.780458317264943
6,0.05,reg:gamma,gbtree,0,0,0.3,0.8,4,2.742791393587833
