train_loss,val_loss
2.971983,2.9063745
2.6974888,2.867348
2.53997,2.7983131
2.433985,2.6660469
2.380356,2.6894097
2.3246915,2.6866236
2.285925,2.716133
2.2563398,2.7349184
2.2285466,2.6653798
2.172206,2.6745317
2.1289423,2.7836432
2.0862153,2.5841718
2.0673106,2.7028446
2.0416324,2.7089412
2.012391,2.6815355
2.00062,2.8245873
1.9607381,2.6557474
1.9219263,2.6940112
1.9052197,2.623724
1.8526417,2.6406562
1.823521,2.6515431
1.8341432,2.625456
1.80905,2.888178
1.7843323,2.6845567
1.7367338,2.6790142
1.7276627,2.7144055
1.71283,2.7250845
1.6929545,2.8465765
1.6730359,2.7685404
1.6209842,2.8121111
1.6241393,2.6922715
1.5747343,2.7214282
1.5825572,2.7219527
1.5528498,2.7354016
1.5095963,2.7901998
1.5423708,2.7320018
1.5465188,2.7178469
1.5577251,2.786088
1.54629,2.7779813
1.5459746,2.8280292
1.5217054,2.8014615
1.5513214,2.9055488
1.4885035,2.872417
1.4877942,2.8259718
1.5023497,2.8329487
1.5178634,2.838634
1.5031263,2.7769308
1.5058883,2.8605456
1.4865139,2.9099536
1.4836354,2.765884
1.4163738,2.8678272
1.412347,2.7876005
1.4195868,2.858262
1.3805181,2.886239
1.3398488,2.8950267
1.3633577,2.8634386
1.4162298,2.8407447
1.3780708,2.8372898
1.305999,2.819074
1.3163794,2.8745742
1.3158739,2.9047847
1.2740227,2.9133103
1.3033348,2.7540627
1.2894517,2.819071
1.3021457,2.9046721
1.2762927,2.8556385
1.217738,2.847537
1.2321603,2.925053
1.2213457,2.9068692
1.2295722,2.9198134
1.2274187,2.8101363
1.2304276,2.9238963
1.2047782,2.8304818
1.2129034,2.8639612
1.1925688,2.8851159
1.194545,2.8690746
1.1705446,2.8918347
1.1652555,2.9000552
1.1750015,2.816569
1.1356087,2.8336456
1.1577442,2.8780966
1.1701293,2.90998
1.1508349,2.9552922
1.1274409,2.8433197
1.1399846,2.913604
1.1018437,2.8458745
1.1062436,2.9031303
1.08428,2.969552
1.0642647,2.857221
1.0823313,2.9676824
1.0812964,2.9180934
1.0877324,2.898457
1.0660199,2.8895547
1.0093728,2.9405677
1.0137422,2.8778121
1.0168641,2.9941025
1.0434225,2.9083893
1.039052,2.944918
1.0066705,2.8966515
0.9923002,2.8120399
