train_loss,val_loss
2.9250853,2.7213237
2.2465365,2.6400967
2.1432242,2.5730004
2.1473894,2.5456991
2.1180575,2.535703
2.10125,2.588447
2.1481268,2.492862
2.0986803,2.5781207
2.1029577,2.502609
2.102909,2.5580904
2.1103244,2.475637
2.073505,2.536615
2.0840995,2.5414448
2.0946777,2.4379377
2.090265,2.4252584
2.0825224,2.4446175
2.0750098,2.4378464
2.0665886,2.448929
2.0799549,2.4682572
2.0539696,2.5588338
2.071617,2.4869225
2.0601418,2.4644914
2.0610726,2.5117571
2.0632186,2.5579998
2.057504,2.5190594
2.0570955,2.4087687
2.0558538,2.5078528
2.0477388,2.5178196
2.0376928,2.4081254
2.0374234,2.4992065
2.0501401,2.4201195
2.0460794,2.4332318
2.0410383,2.431038
2.0230398,2.4007688
2.0385807,2.4211516
2.0375967,2.4913454
2.03251,2.4176507
2.0242145,2.411839
2.0166152,2.4254742
2.032647,2.3976824
2.0420933,2.4276657
2.0363054,2.4231927
2.0189369,2.3801835
2.023226,2.4108622
2.0213394,2.3960738
2.0212705,2.4306517
2.0188315,2.4312193
2.0179513,2.4366086
2.0329828,2.4157045
2.0241728,2.4273887
2.0149724,2.3941581
2.0227482,2.4408329
2.0114508,2.3690171
2.0085387,2.3917265
2.007484,2.411906
1.9945672,2.3763163
2.0011392,2.3427563
2.0091834,2.3682265
2.0107892,2.4349093
1.9976075,2.348216
1.9997847,2.4152718
1.9934481,2.3548446
1.9965305,2.3728611
1.9813231,2.3474672
1.9870434,2.4375823
1.9998102,2.392014
1.9936414,2.431061
1.9969904,2.2984989
1.9786016,2.337205
1.9821146,2.347065
1.996824,2.4556808
1.9799114,2.3581812
1.9846858,2.3940575
1.9747871,2.467774
1.9740037,2.3138762
1.9668002,2.3704507
1.9708855,2.3683813
1.9705294,2.3315232
1.9690057,2.4048548
1.9722775,2.4445536
1.9741076,2.3960524
1.9499016,2.3404129
1.9603101,2.3404922
1.9662864,2.3244228
1.9481819,2.3500469
1.9553422,2.4099064
1.9542638,2.31782
1.9370661,2.3663065
1.9464145,2.453365
1.9308248,2.3936193
1.9417756,2.5681357
1.9316471,2.3513627
1.9331496,2.3194199
1.93371,2.3985121
1.9220505,2.341776
1.9188277,2.366262
1.9086766,2.4110148
1.920137,2.4618227
1.9015137,2.40106
1.9073585,2.392255
