train_loss,val_loss
3.026234,3.206379
2.9935272,3.32268
2.9638338,3.1722693
2.8663745,3.2674313
2.8791237,3.1371276
2.8097117,2.9347787
2.7105005,3.0341473
2.7379024,2.9809003
2.5829544,2.922813
2.5607677,3.0230458
2.5399508,2.8161616
2.5123138,2.8254292
2.4165425,2.6618075
2.402387,2.7793922
2.3832173,2.675982
2.3674934,2.7120147
2.3346043,2.653611
2.2970002,2.6782274
2.3058152,2.6222057
2.3140814,2.6986413
2.2961357,2.7154212
2.3095157,2.6141624
2.2644262,2.6080391
2.241795,2.7717898
2.2105827,2.6735034
2.217394,2.6330628
2.22884,2.6131442
2.2039974,2.9806802
2.1863875,2.7258222
2.1783764,2.79184
2.2069912,2.708752
2.2050009,2.6168973
2.1548574,2.586171
2.1796775,2.7536588
2.1668205,2.7486305
2.1510823,2.7245493
2.1784449,2.740626
2.1589792,2.6126902
2.1400867,2.6582963
2.1539626,2.631277
2.1372185,2.652186
2.1703074,2.6567473
2.157118,2.739473
2.1463141,2.639514
2.2119472,2.818792
2.1770658,2.6223652
2.1222954,2.6117363
2.1017737,2.6270256
2.110214,2.6434042
2.111201,2.610026
2.0939708,2.6248848
2.1082559,2.606747
2.0832021,2.868332
2.0911384,2.6151328
2.0897284,2.5765603
2.141184,2.6035287
2.1365309,2.554566
2.106517,2.605277
2.093099,2.5969143
2.0862157,2.6195114
2.09116,2.5663526
2.0815053,2.6846921
2.1017168,2.6685085
2.0800095,2.631964
2.0760381,2.6057231
2.0773993,2.598024
2.0841742,2.5493448
2.083492,2.6551225
2.0766718,2.6217983
2.094178,2.6164665
2.1085334,2.7254946
2.0679564,2.6316063
2.0640604,2.6290765
2.0580566,2.631834
2.0603123,2.6005883
2.0451424,2.6184185
2.0489686,2.5777824
2.0452678,2.5678973
2.0533955,2.6960053
2.055515,2.6295483
2.067121,2.6079137
2.065407,2.548651
2.0792968,2.5677729
2.0570729,2.5775418
2.056751,2.6232038
2.0371327,2.5644588
2.0603964,2.5163183
2.02225,2.5730247
2.032266,2.735666
2.0105844,2.76516
1.9975196,2.5956674
2.0322757,2.605092
2.0372503,2.6359575
2.04441,2.6299765
2.027136,2.617584
2.0386462,2.6688442
2.0172205,2.5984488
2.0424058,2.6584344
2.0727963,2.607259
2.0466242,2.7788982
