train_loss,val_loss
3.040425,3.210372
3.011746,3.2823558
3.0013397,3.204044
2.9734485,3.1539161
2.8586137,2.9426494
2.7661316,2.9288778
2.6925576,2.8277066
2.6641462,2.8578763
2.6237752,3.1618075
2.7017841,3.2040312
2.6064994,3.1169295
2.52329,2.7632403
2.4769762,2.7988305
2.4711812,2.855269
2.5527716,2.765737
2.5295036,2.8697422
2.4619884,2.7532942
2.540749,2.8847373
2.4484966,2.7532816
2.4542265,2.6482587
2.3430226,2.8410258
2.3581257,2.7650309
2.3138723,2.6513934
2.305846,2.8538482
2.2908685,2.717363
2.3637674,2.8596957
2.358109,2.769704
2.3373256,2.774666
2.3252637,2.6672568
2.2738917,2.74677
2.2550163,2.8442883
2.2860012,2.7010868
2.2674131,2.7395024
2.217672,2.6800725
2.2175708,2.7392828
2.2260017,2.7708452
2.2135024,2.71639
2.1739662,2.813243
2.2253087,2.730984
2.2310019,2.76532
2.1993015,2.8688715
2.1673808,2.823472
2.1764505,2.7483463
2.3035645,2.7380471
2.1077375,2.712785
2.141279,2.8380353
2.1108768,2.6996922
2.1098084,2.7041938
2.1094928,2.6509001
2.1119633,2.6924732
2.0810125,2.5838158
2.0861654,2.6650045
2.0411615,2.6090033
2.1048267,2.6783388
2.0935,2.6752825
2.0586658,2.632004
2.0434134,2.665483
2.0722923,2.6149447
2.0609546,2.6227074
2.0528538,2.6700723
2.0257542,2.625207
2.0273664,2.595253
2.0418162,2.656119
2.0305717,2.7352002
2.0355282,2.686156
2.0021605,2.6764774
1.9943951,2.5725539
1.9297373,2.702835
2.00228,2.6428645
1.981097,2.6608377
2.0043252,2.7310095
2.0288734,2.6556635
1.9951446,2.7799516
2.0041854,2.7254894
2.0513482,2.6923602
1.9817168,2.6926532
1.9944687,2.7370963
1.984377,2.7121596
1.9624838,2.747911
1.9953504,2.76953
1.9563687,2.7669125
1.9676557,2.7035964
1.9298118,2.6228352
1.9312137,2.6705186
1.9221717,2.6004257
1.9413072,2.6452432
1.9204366,2.6308792
1.9241093,2.6987095
1.932953,2.7068768
1.8858564,2.807377
1.8880357,2.681368
1.8646046,2.6644516
1.8819994,2.6980646
1.8801175,2.756506
1.9036158,2.6156018
1.8914773,2.7740018
1.9342889,2.7682626
1.8834835,2.7716148
1.8862258,2.683177
1.848866,2.716717
