train_loss,val_loss
3.0350878,3.2075436
3.0020254,3.3104587
2.9524267,3.1229053
2.7805634,3.0954118
2.7319696,2.9988816
2.7144723,2.952748
2.7235973,2.986333
2.6768656,3.0224984
2.6340158,2.9603927
2.6198661,2.9839854
2.6095276,3.0053477
2.602188,2.9152179
2.6558242,2.9786558
2.5744698,3.0879786
2.5792835,2.9002645
2.6034315,2.9576268
2.5219862,2.813477
2.4409869,2.8314095
2.4498365,2.813929
2.5500605,2.765272
2.4530492,2.8463397
2.453369,2.8459513
2.3963602,2.7240894
2.3663094,2.8748684
2.3582692,2.832565
2.4306056,2.7455885
2.3450646,2.7818916
2.3288414,2.9446976
2.2987502,2.66914
2.2841158,2.7594771
2.2542133,2.7314913
2.2729955,2.6600895
2.2050269,2.6023543
2.1875641,3.0364063
2.2008853,2.7461488
2.1799366,2.7384768
2.1817133,2.6202471
2.139457,2.6403346
2.1491807,2.750575
2.1364646,2.7108314
2.145627,2.6499095
2.1365483,2.7332215
2.1484215,2.6424766
2.150048,2.6615808
2.1444335,2.6088083
2.1288927,2.7425792
2.1289477,2.7612526
2.0933976,2.679815
2.1064224,2.7275417
2.0797703,2.6955428
2.0744202,2.5980642
2.0818071,2.645968
2.0814393,2.6632001
2.0233982,2.7527895
2.0319276,2.6883407
2.0360165,2.7222414
2.0221548,2.6042242
2.0265045,2.6830351
2.0279,2.640859
2.0134575,2.6831486
2.0529423,2.6900132
1.9912763,2.664064
2.0672128,2.6594846
2.0570652,2.7122474
2.0280063,2.79141
2.0111613,2.6411939
1.9844736,2.6078756
1.9641114,2.5972486
1.9644704,2.7069018
1.9578437,2.6584184
1.9893059,2.671714
1.9707787,2.7153344
1.9981064,2.6715112
2.033648,2.7480605
2.0507705,2.805366
1.983625,2.7876086
1.9711987,2.639087
1.9551584,2.624076
1.9822822,2.731381
1.9673812,2.7469153
1.9434339,2.714597
1.9463347,2.6122227
1.9647372,2.7190635
1.9562123,2.6381142
1.9331388,2.7031505
1.968525,2.6923993
1.9914973,2.615453
1.9584405,2.6807382
1.964606,2.7322688
1.9445504,2.7714307
1.9537865,2.6917825
1.92657,2.657315
1.912813,2.6460035
1.920353,2.7249002
1.8959457,2.637573
1.9190303,2.7967308
1.9302452,2.6624696
1.9466735,2.757633
1.9267613,3.1842887
1.9522322,2.6654801
